name,Estimated Muslim Population 2023,Total Population 2023,1445h Direct Flights Multiplier,1446h 2m Direct Flights Multiplier
Pakistan,229160081,240485658,4.76,4.42
Indonesia,216414120,277534122,2.21,1.94
India,190999376,1428627663,6.11,6.42
Bangladesh,153537150,172954319,4.37,6.76
Nigeria,102424150,223804632,1.4,2.06
Egypt,101612106,112716598,20.51,8315.46
Libya,6818052,6888388,0,0
Turkey,84453468,85326000,12.48,45.91
Algeria,44776604,45606480,1.36,8.36
Iraq,44324112,45504560,0.71,0.68
Sudan,44097636,48109006,8.94,7.33
Ethiopia,43525661,126527060,239.27,148.17
Afghanistan,42179993,42239854,7.31,11.5
Morocco,37716514,37840044,4.51,7.21
Yemen,34188340,34449825,1.39,0.8
Uzbekistan,33588195,36412350,0.43,4.12
China,26518669,1410710000,570.18,2882.35
Albania,1818166,2745972,0,0
Australia,778928,26638544,0,0
Syria,21872261,23227014,0,0
Mali,20537794,23293698,0,1.47
Malaysia,18878993,34308525,15.28,19.4
Somalia,18112641,18143378,11.22,12.41
Senegal,16154893,17763163,0,0
Russia,15166366,143826130,0.36,1.41
Brazil,215208,216422446,0,0
Bulgaria,824428,6430370,0,0
Tunisia,12396020,12458223,7.1,116.04
Burkina Faso,13109774,23251485,0,0
Cambodia,281090,16944826,0,0
Jordan,10816585,11337052,9.52,16.31
Cameroon,6179083,28647293,0,0
Azerbaijan,9908041,10112555,21.43,163
Tajikistan,9882911,10143543,0.76,5.48
Philippines,7357707,117337368,65.55,200.72
United Arab Emirates,7089013,9516871,120.07,365.04
Ivory Coast,10058043,28873034,0,0
Chad,10949767,18278568,0,0
France,6302389,68170228,12.77,70.86
Colombia,25669,52085168,0,0
Comoros,834988,852075,0,0
Kyrgyzstan,6044405,7100800,1.24,13.23
Turkmenistan,6027752,6516100,31.24,23.99
Croatia,73586,3853200,0,0
Kazakhstan,13863315,19900177,0,0
Kenya,5587880,55100586,24.56,34.57
Germany,5436025,84482267,11.74,65.11
Cyprus,291223,1260138,0,0
United States of America,4677315,334914895,48.81,153.02
Denmark,312063,5946952,0,0
Thailand,4233197,71801279,15.28,74.32
Oman,4116507,4644384,80.12,397.91
Benin,3995695,13712828,0,0
United Kingdom,3972745,68350000,127.27,225.52
Kuwait,3364705,4310108,135.31,170.55
Lebanon,3045249,5353930,35.13,32.46
Djibouti,1110231,1136455,0,0
Italy,2724577,58761146,210.11,665.05
Gambia,2451037,2773168,0,0
Israel,2056137,9756700,0,0
Finland,132296,5584264,0,0
Eritrea,2011577,3748901,0,0
Ghana,6363067,34121985,0,0
Guinea,12101373,14190612,0,0
Qatar,1715221,2716391,85.43,319.18
Ireland,62595,5262382,0,0
Republic of the Congo,1506632,102262808,0,0
Bosnia and Herzegovina,1471700,3210847,69.97,144.31
Togo,1423071,9053799,0,0
Spain,1335827,48373336,78.2,241.25
Netherlands,1278314,17879488,0,299.21
Japan,189347,124516650,0,0
Canada,1171449,40097761,70.35,175.44
Bahrain,1155253,1485509,131.49,456.64
Kosovo,1523713,1756374,0,0
Luxembourg,16757,668606,0,0
Argentina,992175,46654581,0,0
Singapore,926290,5917648,31.83,101.45
Belgium,875019,11822592,4.24,32.61
Liberia,865861,5418377,0,0
Malawi,2939315,20931751,0,0
Mauritania,4823420,4862989,0,0
Mongolia,183118,3447157,0,0
Central African Republic,795302,5742315,37.78,0
Mozambique,5929654,33897354,0,0
South Sudan,693166,11088796,0,0
Macedonia,674566,1811980,0,108.11
Rwanda,674373,14094683,0,0
Austria,646251,9132383,27.82,197.53
Nepal,1268556,30896590,0,0
Greece,592705,10361295,2643.85,0
Western Sahara,584620,579729,0,0
New Zealand,78292,5223100,0,0
Switzerland,578846,8849852,77.92,1290.32
Maldives,514501,521021,4.31,6.86
Niger,25982488,27202843,0,0
Georgia,419197,3760365,2574.12,90000
Angola,402743,36684202,0,0
Mayotte,335607,316015,0,0
Norway,296528,5519594,0,0
Palestine,4323357,5409202,0,0
Portugal,46611,10525347,0,0
Serbia,492098,6618026,0,0
Burundi,278416,13238559,0,0
Brunei,266356,452524,14.16,22
Gabon,248697,2436566,0,0
Mauritius,219136,1261041,14.7,38.73
Sierra Leone,5757898,8791092,0,0
South Africa,1040780,60414495,0,0
Sri Lanka,1976584,22037000,0,0
Sweden,814155,10536632,0,0
Taiwan,90949,23317145,0,0
Tanzania,22122888,67438106,0,0
Zimbabwe,121244,16665409,0,0
Mexico,120301,128455567,0,0
Montenegro,112067,616177,0,0
Hong Kong,100535,7536100,216.39,333.33
Trinidad and Tobago,99247,1502932,0,0
Suriname,97531,623236,0,0
Venezuela,94845,28838499,0,0
Iran,87874158,89172767,0,0
Slovenia,81209,2120937,0,0
Romania,80615,19056116,0,0
Uganda,6088572,48582334,0,0
Ukraine,584196,37000000,0,0
South Korea,71249,51748739,0,0
Equatorial Guinea,69401,1714671,0,0
Vietnam,204574,98858950,0,0
Guyana,61252,813834,0,0
Fiji,58090,936375,0,0
Timor-Leste,48877,1360596,0,0
Zambia,193442,20569737,0,0
Réunion,40522,874883,0,0
Poland,37945,36685849,0,0
Panama,31838,4468087,0,0
Hungary,30294,9589872,7650.86,0
Myanmar,2051405,54577997,0,0
Belarus,24854,9178298,0,0
Chile,18612,19629590,0,0
Cabo Verde,16852,598682,0,0
Madagascar,644653,30325732,0,0
Honduras,15490,10593798,0,0
Czech Republic,13620,10873689,0,0
Moldova,13307,2486891,0,0
Malta,12560,553214,2295.26,0
