Week,departure.airport,latitude,longitude,flight_count
2024-06-30,Abu Dhabi International,24.426912,54.645973,45
2024-07-07,Abu Dhabi International,24.426912,54.645973,48
2024-07-14,Abu Dhabi International,24.426912,54.645973,47
2024-07-21,Abu Dhabi International,24.426912,54.645973,46
2024-07-28,Abu Dhabi International,24.426912,54.645973,49
2024-08-04,Abu Dhabi International,24.426912,54.645973,47
2024-08-11,Abu Dhabi International,24.426912,54.645973,48
2024-08-18,Abu Dhabi International,24.426912,54.645973,48
2024-08-25,Abu Dhabi International,24.426912,54.645973,46
2024-06-30,Adana,36.98503,35.29736,1
2024-07-21,Adana,36.98503,35.29736,1
2024-08-04,Adana,36.98503,35.29736,1
2024-06-30,Aden International Airport,12.826116,45.037537,10
2024-07-07,Aden International Airport,12.826116,45.037537,10
2024-07-14,Aden International Airport,12.826116,45.037537,8
2024-07-21,Aden International Airport,12.826116,45.037537,9
2024-07-28,Aden International Airport,12.826116,45.037537,8
2024-08-04,Aden International Airport,12.826116,45.037537,10
2024-08-11,Aden International Airport,12.826116,45.037537,5
2024-08-18,Aden International Airport,12.826116,45.037537,5
2024-08-25,Aden International Airport,12.826116,45.037537,7
2024-07-28,Adi Sumarmo,-7.51583,110.75667,1
2024-08-04,Adi Sumarmo,-7.51583,110.75667,1
2024-08-11,Adi Sumarmo,-7.51583,110.75667,1
2024-08-18,Adi Sumarmo,-7.51583,110.75667,1
2024-08-25,Adi Sumarmo,-7.51583,110.75667,1
2024-08-11,Adnan Menderes Airport,38.294403,27.147594,1
2024-06-30,Agadir Almassira,30.378326,-9.555895,1
2024-06-30,Agri,39.65,43.025,1
2024-06-30,Ain Beida,31.916668,5.4,1
2024-07-07,Ain Beida,31.916668,5.4,2
2024-06-30,Al-Fujairah International,25.109444,56.330555,13
2024-07-07,Al-Fujairah International,25.109444,56.330555,6
2024-06-30,Alama Iqbal International,31.520832,74.40278,23
2024-07-07,Alama Iqbal International,31.520832,74.40278,23
2024-07-14,Alama Iqbal International,31.520832,74.40278,26
2024-07-21,Alama Iqbal International,31.520832,74.40278,35
2024-07-28,Alama Iqbal International,31.520832,74.40278,34
2024-08-04,Alama Iqbal International,31.520832,74.40278,40
2024-08-11,Alama Iqbal International,31.520832,74.40278,38
2024-08-18,Alama Iqbal International,31.520832,74.40278,42
2024-08-25,Alama Iqbal International,31.520832,74.40278,39
2024-06-30,Alexander The Great Airport,41.95649,21.62872,5
2024-07-07,Alexander The Great Airport,41.95649,21.62872,3
2024-07-14,Almaty,43.346653,77.01145,1
2024-07-21,Almaty,43.346653,77.01145,2
2024-07-28,Almaty,43.346653,77.01145,2
2024-08-04,Almaty,43.346653,77.01145,2
2024-08-11,Almaty,43.346653,77.01145,2
2024-08-18,Almaty,43.346653,77.01145,2
2024-08-25,Almaty,43.346653,77.01145,1
2024-06-30,Amausi,26.764257,80.884186,4
2024-07-07,Amausi,26.764257,80.884186,1
2024-07-21,Amausi,26.764257,80.884186,3
2024-07-28,Amausi,26.764257,80.884186,4
2024-08-04,Amausi,26.764257,80.884186,6
2024-08-11,Amausi,26.764257,80.884186,6
2024-08-18,Amausi,26.764257,80.884186,6
2024-08-25,Amausi,26.764257,80.884186,5
2024-06-30,Aminu Kano International Airport,12.045549,8.522271,2
2024-07-07,Aminu Kano International Airport,12.045549,8.522271,1
2024-07-14,Aminu Kano International Airport,12.045549,8.522271,1
2024-07-21,Aminu Kano International Airport,12.045549,8.522271,1
2024-07-28,Aminu Kano International Airport,12.045549,8.522271,1
2024-08-04,Aminu Kano International Airport,12.045549,8.522271,2
